KEY,SubmissionDate,starttime,endtime,deviceid,subscriberid,simid,devicephonenum,username,duration,formdef_version,instanceID,respondent_id,age,gender,education_level,household_size,farm_size_ha,main_crop,secondary_crop,yield_kg_last_season,estimated_income_kes,uses_fertilizer,uses_irrigation,soil_type,years_farming,belongs_to_coop,received_extension,gps_latitude,gps_longitude,gps_altitude,gps_accuracy,challenges_faced,new_practices_adopted,additional_comments,has_valid_gps,data_quality_score
5fa5abcc-6d70-4115-af63-a96d4e3b500d,2025-09-21 19:07:00,2025-09-21 17:53:00,2025-09-21 19:07:00,collect:device:723398,8901386480450,748147629526492,254781259135.0,enum_mary,4440,20250901v3,uuid:5fa5abcc-6d70-4115-af63-a96d4e3b500d,R0001,29.0,Male,Tertiary,6,0.67,Maize,,210.6,47879.0,No,Yes,Clay,10,Yes,Yes,-0.56365,38.270665,1880.1,8.2,Poor road access to market so I sell at very low prices to middlemen.,Practicing crop rotation between maize and beans.,The training last month was useful.,True,5
3c6be662-f027-41e8-bc87-0e83aec74e7a,2025-10-10 19:06:00,2025-10-10 18:08:00,2025-10-10 19:06:00,collect:device:141672,8901270937380,908786126602732,254783871890.0,enum_peter,3480,20250901v3,uuid:3c6be662-f027-41e8-bc87-0e83aec74e7a,R0002,24.0,Female,Secondary,11,1.39,Maize,,151.5,36254.0,No,Yes,Unknown,44,,No,0.876786,36.598905,1608.2,7.8,Drought and lack of reliable rainfall this season made it hard to plant on time.,Bought a small solar pump for irrigation.,Need more support with inputs.,True,5
0cb4078d-cd21-4943-82b0-2681552edb3a,2025-09-23 17:31:00,2025-09-23 17:06:00,2025-09-23 17:31:00,collect:device:749468,8901945436943,532321513932199,254770900658.0,enum_john,1500,20250901v3,uuid:0cb4078d-cd21-4943-82b0-2681552edb3a,R0003,46.0,Female,Primary,11,1.09,Maize,Potatoes,299.9,23782.0,Organic Only,Yes,Loam,10,Yes,No,0.329985,36.362237,1215.4,24.1,Drought!!! no rain for 3 months and then floods destroyed everything. Government help is very slow.,I am experimenting with kitchen gardening for household food.,Thank you for the survey.,True,5
18361e62-3d2f-4319-a793-4a0affab00e7,2025-09-11 11:21:00,2025-09-11 10:01:00,2025-09-11 11:21:00,collect:device:185965,8901852991721,549968667066517,254743742830.0,enum_mary,4800,20250901v3,uuid:18361e62-3d2f-4319-a793-4a0affab00e7,R0004,28.0,Female,Primary,10,,Maize,Maize,2690.0,60498.0,No,No,Sandy,13,,,-0.003354,37.223632,1782.9,16.6,Crop diseases that I do not know how to control.,I started using conservation agriculture and mulching to keep moisture.,Need more support with inputs.,True,4
09705ce0-cdcb-4641-8a63-23d79f5ef714,2025-09-25 11:27:00,2025-09-25 10:26:00,2025-09-25 11:27:00,collect:device:141672,8901216066793,266147562783668,254735848226.0,enum_peter,3660,20250901v3,uuid:09705ce0-cdcb-4641-8a63-23d79f5ef714,R0005,50.0,Female,,3,1.17,Maize,Beans,164.4,22417.0,,No,Clay,37,,Yes,-1.109953,38.464126,1453.1,15.3,Crop diseases that I do not know how to control.,Still learning about proper spacing and planting dates.,Need more support with inputs.,True,5
3cf34d1e-e840-4141-ad82-393651426fcd,2025-09-29 18:17:00,2025-09-29 16:50:00,2025-09-29 18:17:00,collect:device:789305,8901510751046,874196442655465,254781922443.0,enum_grace,5220,20250901v3,uuid:3cf34d1e-e840-4141-ad82-393651426fcd,R0006,23.0,Female,Primary,2,0.75,Beans,,506.1,130997.0,Yes,No,Clay-Loam,38,No,Yes,,36.605138,1650.3,12.1,Soil is becoming less fertile and yields keep dropping every year.,"Nothing new this season, same as always.",Soil testing would help us a lot.,False,5
28f8dd57-e008-4d95-9264-726a928e6604,2025-09-02 18:20:00,2025-09-02 18:03:00,2025-09-02 18:20:00,collect:device:712024,8901141580226,976422894276117,254734850391.0,,1020,20250901v3,uuid:28f8dd57-e008-4d95-9264-726a928e6604,R0007,64.0,Female,,6,1.58,Maize,Potatoes,207.7,67866.0,No,Yes,Loam,24,,No,-1.354791,37.680339,2157.6,12.4,Poor road access to market so I sell at very low prices to middlemen.,mulching and organic fertilizer,,True,5
fc0fc57d-daac-4798-8999-28dd0eedbff4,2025-09-15 09:26:00,2025-09-15 08:42:00,2025-09-15 09:26:00,collect:device:692683,8901605399561,346391214858643,254774988034.0,enum_grace,2640,20250901v3,uuid:fc0fc57d-daac-4798-8999-28dd0eedbff4,R0008,32.0,Male,Primary,11,0.58,Beans,,,70232.0,Yes,No,Loam,2,No,Yes,0.66544,37.904049,1599.0,14.9,Everything is expensive and the weather is bad.,I started using conservation agriculture and mulching to keep moisture.,Market prices are too low.,True,4
8d52d436-b696-411b-85b5-f3b2d20a9e7c,2025-10-01 08:22:00,2025-10-01 07:47:00,2025-10-01 08:22:00,collect:device:648177,8901338836384,883530703274800,254789133014.0,enum_grace,2100,20250901v3,uuid:8d52d436-b696-411b-85b5-f3b2d20a9e7c,R0009,,Female,,5,2.98,Coffee,Beans,774.9,20789.0,No,No,Clay-Loam,22,Yes,No,0.002788,36.594094,2039.8,18.3,High cost of fertilizer and seeds. I could not afford enough.,Joined a farmers group that trains on post-harvest handling.,Hope next season will be better.,True,4
6b8564c4-2b14-4c51-ae7d-4c3c7a14a9ef,2025-09-24 17:12:00,2025-09-24 16:30:00,2025-09-24 17:12:00,collect:device:431737,8901314289692,623034751983891,254780415568.0,enum_peter,2520,20250901v3,uuid:6b8564c4-2b14-4c51-ae7d-4c3c7a14a9ef,R0010,68.0,Male,,10,2.22,Potatoes,,354.2,28001.0,No,No,Clay-Loam,17,No,No,0.270181,37.820541,1388.5,18.4,,Tried planting cover crops but they did not establish well.,Hope next season will be better.,True,5
